#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   1   7  1.7e-144  4.3e-143  474.9   2.0     1   269    19   322    19   356 0.90 -
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   2   7   3.7e-07   9.6e-06   21.9   0.1   274   304   410   439   374   460 0.82 -
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   3   7   2.2e-07   5.7e-06   22.7   0.0   305   337   502   534   499   549 0.87 -
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   4   7   6.6e-08   1.7e-06   24.4   0.1   333   370   582   618   574   641 0.81 -
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   5   7   2.1e-18   5.4e-17   59.1   2.8   366   441   689   769   666   775 0.84 -
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   6   7   6.9e-12   1.8e-10   37.6   0.5   419   463   776   827   765   832 0.87 -
tig00000005:943649-946306   -            886 4598at4891           -            484  1.5e-191  634.8  34.5   7   7   0.00052     0.013   11.6   0.2   461   484   858   881   854   881 0.94 -
tig00000039:167303-168607   -            435 4598at4891           -            484   3.1e-39  132.4   1.1   1   2   5.3e-16   1.4e-14   51.1   0.2     1   141    29   184    29   192 0.74 -
tig00000039:167303-168607   -            435 4598at4891           -            484   3.1e-39  132.4   1.1   2   2     1e-24   2.7e-23   79.9   0.0   152   303   225   388   218   422 0.77 -
tig00000001:280977-282515   -            513 4598at4891           -            484   3.9e-35  118.9   0.6   1   1   3.2e-34   8.3e-33  111.2   0.6    13   265   224   482   204   494 0.76 -
tig00000012:660018-662129   -            704 4598at4891           -            484   3.9e-34  115.6   0.1   1   2   6.5e-12   1.7e-10   37.6   0.1     4    85    89   178    87   181 0.83 -
