ID or #		Start	End	Type	Contig
==================================================
NC_001133.9:1..230218		1	230218	partial	tig00000039:29944-163073,tig00000040:12910-1,tig00000039:163074-195518,tig00000039:29533-12523,tig00000039:208360-208524,tig00000039:208612-209556,tig00000039:209583-209934,tig00000039:210691-214937
gene-YAL063C		24000	27968	partial	tig00000039:29944-30821
rna-NM_001178205.1		24000	27968	partial	tig00000039:29944-30821
exon-NM_001178205.1-1		24000	27968	partial	tig00000039:29944-30821
cds-NP_009338.1		24000	27968	partial	tig00000039:29944-30821
id-NC_001133.9:30946..31183		30946	31183	complete	tig00000039:33799-34036
gene-YAL062W		31567	32940	complete	tig00000039:34420-35793
rna-NM_001178204.1		31567	32940	complete	tig00000039:34420-35793
exon-NM_001178204.1-1		31567	32940	complete	tig00000039:34420-35793
cds-NP_009339.1		31567	32940	complete	tig00000039:34420-35793
gene-YAL061W		33448	34701	complete	tig00000039:36301-37554
rna-NM_001178203.1		33448	34701	complete	tig00000039:36301-37554
exon-NM_001178203.1-1		33448	34701	complete	tig00000039:36301-37554
cds-NP_009340.1		33448	34701	complete	tig00000039:36301-37554
gene-YAL060W		35155	36303	complete	tig00000039:38008-39156
rna-NM_001178202.2		35155	36303	complete	tig00000039:38008-39156
exon-NM_001178202.2-1		35155	36303	complete	tig00000039:38008-39156
cds-NP_009341.2		35155	36303	complete	tig00000039:38008-39156
gene-YAL059W		36509	37147	complete	tig00000039:39362-40000
rna-NM_001178201.2		36509	37147	complete	tig00000039:39362-40000
exon-NM_001178201.2-1		36509	37147	complete	tig00000039:39362-40000
cds-NP_009342.2		36509	37147	complete	tig00000039:39362-40000
gene-YAL058W		37464	38972	complete	tig00000039:40317-41825
rna-NM_001178200.1		37464	38972	complete	tig00000039:40317-41825
exon-NM_001178200.1-1		37464	38972	complete	tig00000039:40317-41825
cds-NP_009343.1		37464	38972	complete	tig00000039:40317-41825
gene-YAL056W		39259	41901	complete	tig00000039:42112-44754
rna-NM_001178199.2		39259	41901	complete	tig00000039:42112-44754
exon-NM_001178199.2-1		39259	41901	complete	tig00000039:42112-44754
cds-NP_009345.3		39259	41901	complete	tig00000039:42112-44754
id-NC_001133.9:41992..42151		41992	42151	complete	tig00000039:44845-45004
gene-YAL055W		42177	42719	complete	tig00000039:45030-45572
rna-NM_001178198.1		42177	42719	complete	tig00000039:45030-45572
exon-NM_001178198.1-1		42177	42719	complete	tig00000039:45030-45572
cds-NP_009346.1		42177	42719	complete	tig00000039:45030-45572
gene-YAL054C		42881	45022	complete	tig00000039:45734-47875
rna-NM_001178197.1		42881	45022	complete	tig00000039:45734-47875
exon-NM_001178197.1-1		42881	45022	complete	tig00000039:45734-47875
cds-NP_009347.1		42881	45022	complete	tig00000039:45734-47875
gene-YAL053W		45899	48250	complete	tig00000039:48752-51103
rna-NM_001178196.2		45899	48250	complete	tig00000039:48752-51103
exon-NM_001178196.2-1		45899	48250	complete	tig00000039:48752-51103
cds-NP_009348.2		45899	48250	complete	tig00000039:48752-51103
gene-YAL051W		48564	51707	complete	tig00000039:51417-54560
rna-NM_001178195.2		48564	51707	complete	tig00000039:51417-54560
exon-NM_001178195.2-1		48564	51707	complete	tig00000039:51417-54560
cds-NP_009349.3		48564	51707	complete	tig00000039:51417-54560
gene-YAL049C		51855	52595	complete	tig00000039:54708-55448
rna-NM_001178194.1		51855	52595	complete	tig00000039:54708-55448
exon-NM_001178194.1-1		51855	52595	complete	tig00000039:54708-55448
cds-NP_009350.1		51855	52595	complete	tig00000039:54708-55448
gene-YAL048C		52801	54789	complete	tig00000039:55654-57642
