#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000010:92017-93582   -            521 28907at4891          -            239   5.2e-92  298.2   8.9   1   4   1.4e-14   2.3e-14   44.0   0.1     1    59   129   202   129   207 0.85 -
tig00000010:92017-93582   -            521 28907at4891          -            239   5.2e-92  298.2   8.9   2   4   2.2e-49   3.5e-49  158.0   1.4    62   151   239   334   225   348 0.90 -
tig00000010:92017-93582   -            521 28907at4891          -            239   5.2e-92  298.2   8.9   3   4   3.7e-25   5.9e-25   78.6   0.0   145   215   349   425   347   444 0.87 -
tig00000010:92017-93582   -            521 28907at4891          -            239   5.2e-92  298.2   8.9   4   4     4e-07   6.4e-07   19.6   0.1   208   239   487   521   470   521 0.81 -
tig00000037:93758-94777   -            340 28907at4891          -            239     8e-13   38.9   9.8   1   3    0.0054    0.0085    6.1   0.1   176   212    15    53     4    60 0.79 -
tig00000037:93758-94777   -            340 28907at4891          -            239     8e-13   38.9   9.8   2   3    0.0057    0.0089    6.0   0.0    79   214   211   271   199   288 0.55 -
tig00000037:93758-94777   -            340 28907at4891          -            239     8e-13   38.9   9.8   3   3   6.6e-06     1e-05   15.6   0.4    71   113   289   333   280   336 0.80 -
tig00000018:621290-622081 -            264 28907at4891          -            239   1.1e-12   38.4   9.2   1   3   1.6e-05   2.6e-05   14.3   0.0   157   214     9    67     1    70 0.76 -
tig00000018:621290-622081 -            264 28907at4891          -            239   1.1e-12   38.4   9.2   2   3   3.2e-06     5e-06   16.7   0.1   167   215    61   109    60   116 0.88 -
tig00000018:621290-622081 -            264 28907at4891          -            239   1.1e-12   38.4   9.2   3   3   2.3e-05   3.6e-05   13.9   4.6    76   135   179   243   154   247 0.85 -
tig00000014:605275-606015 -            247 28907at4891          -            239   1.7e-12   37.8   0.3   1   2   1.5e-08   2.3e-08   24.3   0.4    76   213    46   191    33   196 0.79 -
tig00000014:605275-606015 -            247 28907at4891          -            239   1.7e-12   37.8   0.3   2   2   4.9e-05   7.7e-05   12.8   0.0    52   134   150   235   149   240 0.81 -
tig00000018:569772-570680 -            303 28907at4891          -            239   3.2e-11   33.7   0.3   1   2   1.7e-09   2.7e-09   27.4   0.2   105   215    21   140     8   158 0.82 -
tig00000018:569772-570680 -            303 28907at4891          -            239   3.2e-11   33.7   0.3   2   2     0.025     0.039    3.9   0.0   103   132   249   281   245   284 0.72 -
tig00000078:495386-496162 -            259 28907at4891          -            239   9.3e-11   32.2   1.1   1   3      0.14      0.22    1.5   0.0   189   216    44    72     5    94 0.69 -
tig00000078:495386-496162 -            259 28907at4891          -            239   9.3e-11   32.2   1.1   2   3   3.8e-07     6e-07   19.7   0.2    78   134   155   215   114   220 0.82 -
tig00000078:495386-496162 -            259 28907at4891          -            239   9.3e-11   32.2   1.1   3   3   1.1e-05   1.7e-05   14.9   0.2    79   133   198   256   195   258 0.84 -
tig00000001:196674-198848 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   1   5    0.0025    0.0039    7.2   0.0   161   215    31    86    23   108 0.81 -
tig00000001:196674-198848 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   2   5   0.00048   0.00076    9.5   0.2    80   137   111   172   100   177 0.83 -
tig00000001:196674-198848 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   3   5     0.026      0.04    3.9   0.0   181   215   206   242   186   251 0.78 -
tig00000001:196674-198848 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   4   5      0.01     0.016    5.2   0.1   187   215   257   286   243   303 0.65 -
tig00000001:196674-198848 -            725 28907at4891          -            239   1.6e-10   31.4   1.3   5   5       1.4       2.2   -1.8   0.0   188   236   300   350   286   353 0.69 -
tig00000022:516372-517097 -            242 28907at4891          -            239     2e-10   31.1   1.5   1   4      0.96       1.5   -1.3   0.0    69    97     2    30     1    35 0.60 -
tig00000022:516372-517097 -            242 28907at4891          -            239     2e-10   31.1   1.5   2   4   0.00042   0.00066    9.7   0.0    65    98    41    74    32    82 0.82 -
tig00000022:516372-517097 -            242 28907at4891          -            239     2e-10   31.1   1.5   3   4     0.024     0.038    4.0   0.0   194   214   111   131    93   142 0.80 -
tig00000022:516372-517097 -            242 28907at4891          -            239     2e-10   31.1   1.5   4   4   3.1e-05   4.8e-05   13.4   0.0   153   214   176   236   154   241 0.66 -
tig00000005:613044-613871 -            276 28907at4891          -            239   5.5e-09   26.3   1.2   1   4      0.77       1.2   -1.0   0.0   174   215    23    65     4    81 0.71 -
tig00000005:613044-613871 -            276 28907at4891          -            239   5.5e-09   26.3   1.2   2   4   6.7e-06   1.1e-05   15.6   0.0   154   212    85   145    75   148 0.87 -
tig00000005:613044-613871 -            276 28907at4891          -            239   5.5e-09   26.3   1.2   3   4    0.0089     0.014    5.4   0.0   175   215   148   193   146   201 0.75 -
tig00000005:613044-613871 -            276 28907at4891          -            239   5.5e-09   26.3   1.2   4   4      0.11      0.18    1.8   0.2   180   220   198   241   192   252 0.67 -
tig00000037:74521-75315   -            265 28907at4891          -            239   1.6e-08   24.8   0.2   1   2     6e-06   9.5e-06   15.8   0.1    81   218    16   168     5   174 0.63 -
tig00000037:74521-75315   -            265 28907at4891          -            239   1.6e-08   24.8   0.2   2   2     0.047     0.074    3.0   0.0   194   219   198   223   174   237 0.78 -
tig00000037:113144-114127 -            328 28907at4891          -            239   4.5e-08   23.4   0.6   1   3      0.96       1.5   -1.3   0.0   183   213    33    64    24    89 0.70 -
tig00000037:113144-114127 -            328 28907at4891          -            239   4.5e-08   23.4   0.6   2   3   3.9e-07   6.1e-07   19.7   0.7    67   213   122   277    74   298 0.75 -
tig00000037:113144-114127 -            328 28907at4891          -            239   4.5e-08   23.4   0.6   3   3     0.038      0.06    3.3   0.0    66   102   249   284   235   319 0.82 -
tig00000038:153954-154733 -            260 28907at4891          -            239   6.3e-07   19.6   5.3   1   3      0.11      0.17    1.8   0.0    77    97    37    57    23    68 0.61 -
tig00000038:153954-154733 -            260 28907at4891          -            239   6.3e-07   19.6   5.3   2   3     7e-05   0.00011   12.3   1.3    76   134    99   161    86   164 0.77 -
tig00000038:153954-154733 -            260 28907at4891          -            239   6.3e-07   19.6   5.3   3   3     0.051      0.08    2.9   0.0   114   214   201   221   184   257 0.66 -
tig00000012:489403-490836 -            478 28907at4891          -            239     8e-07   19.3   0.3   1   3       2.7       4.2   -2.7   0.0   196   212    15    31     2    45 0.74 -
tig00000012:489403-490836 -            478 28907at4891          -            239     8e-07   19.3   0.3   2   3   5.8e-05   9.1e-05   12.5   0.0   108   172   193   254   143   313 0.73 -
tig00000012:489403-490836 -            478 28907at4891          -            239     8e-07   19.3   0.3   3   3     0.035     0.055    3.4   0.0   128   195   406   478   390   478 0.71 -
tig00000005:853848-855902 -            685 28907at4891          -            239    0.0001   12.4   0.1   1   2      0.06     0.094    2.7   0.0    72    97     4    29     1    34 0.89 -
tig00000005:853848-855902 -            685 28907at4891          -            239    0.0001   12.4   0.1   2   2    0.0024    0.0037    7.3   0.0    77   131    54   112    37   122 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/28907at4891.hmm
# Target file:     /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/rerun_results/asm.contigs.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/hmmer_output/rerun_results/28907at4891.out --cpu 1 /home/inf-38-2022/BINP29/longread/2/busco_downloads/lineages/saccharomycetes_odb10/hmms/28907at4891.hmm /home/inf-38-2022/BINP29/longread/2/Results/04_Busco/canu/run_saccharomycetes_odb10/metaeuk_output/rerun_results/asm.contigs.fasta.modified.fas 
# Current dir:     /home/inf-38-2022/BINP29/longread/2
# Date:            Thu Feb 23 14:13:14 2023
# [ok]
